Source|Rate|1224
RBA rate |USD|0.634285
RBA rate |CNY|4.618035
RBA rate |JPY|97.276
RBA rate |EUR|0.605355
RBA rate |KRW|911.3995
RBA rate |GBP|0.501435
RBA rate |SGD|0.856205
RBA rate |INR|53.887
RBA rate |THB|21.6805
RBA rate |NZD|1.102185
RBA rate |TWD|20.662
RBA rate |MYR|2.82898
RBA rate |IDR|10172.8
RBA rate |VND|16121.5
RBA rate |HKD|4.93105
RBA rate |CAD|0.90286
RBA rate |CHF|
RBA rate |PHP|37.0305
RBA rate |SDR|0.483815
XE Rate |AED|2.27365
XE Rate |ARS|638.222
XE Rate |BOB|4.28451
XE Rate |BWP|8.64451
XE Rate |BRL|3.84791
XE Rate |CHF|0.561065
XE Rate |CLP|615.567
XE Rate |COP|2728.74
XE Rate |CRC|315.032
XE Rate |MXN|12.8669
XE Rate |MYR|2.76739
XE Rate |PEN|2.32738
XE Rate |PYG|4836.76
XE Rate |QAR|2.26478
XE Rate |ZAR|11.6475
XE Rate |UYU|27.0504
Monthly Exch Rate |CAD|0.89031339
Monthly Exch Rate |EUR|0.597692905
Monthly Exch Rate |GBP|0.494437577
Monthly Exch Rate |HKD|4.80764608
Monthly Exch Rate |JPY|97.31413001
Monthly Exch Rate |NZD|1.106145746
Monthly Exch Rate |SGD|0.844922859
Monthly Exch Rate |USD|0.618773591
